epoch, train_loss, val_loss, mae_r, mae_l, mae_t, rmse_r, rmse_l, rmse_t, avg_mae, avg_rmse
1, 5.2223, 4.8032, 5.7530, 2.3803, 7.7093, 6.2048, 3.1539, 8.1368, 5.2808, 5.8318
2, 2.3690, 1.6752, 1.7809, 2.4536, 2.1113, 2.1850, 3.3412, 2.6944, 2.1153, 2.7402
3, 1.8544, 4.3465, 2.5916, 6.4572, 5.4317, 3.2446, 7.2083, 6.3087, 4.8268, 5.5872
4, 1.7111, 2.4087, 3.3973, 3.4587, 1.7445, 3.9828, 4.2868, 2.2135, 2.8668, 3.4944
5, 1.6187, 3.3850, 2.6868, 3.4669, 5.4568, 3.0846, 4.1863, 5.9556, 3.8702, 4.4088
6, 1.5249, 5.6436, 4.3159, 4.6699, 9.4154, 4.8610, 5.5257, 9.7342, 6.1337, 6.7070
7, 1.4020, 1.7251, 1.7602, 2.6151, 2.1546, 2.0909, 3.2865, 2.5812, 2.1766, 2.6529
8, 1.4247, 2.3309, 3.0216, 2.9481, 2.4180, 3.7975, 3.5562, 2.8599, 2.7959, 3.4045
9, 1.2753, 1.5966, 1.6880, 2.6572, 1.8031, 1.9753, 3.2415, 2.2561, 2.0494, 2.4910
10, 1.2810, 1.6890, 1.8778, 2.6579, 1.9204, 2.1356, 3.1023, 2.4570, 2.1520, 2.5649
11, 1.0527, 2.4169, 1.9513, 3.3777, 3.3388, 2.2903, 4.0023, 3.9098, 2.8893, 3.4008
12, 1.1387, 2.5089, 1.9089, 3.5405, 3.4666, 2.3011, 4.2307, 4.0350, 2.9720, 3.5223
13, 1.0317, 2.2673, 2.2735, 2.7719, 3.1829, 2.6924, 3.3149, 3.6405, 2.7428, 3.2159
14, 1.0250, 2.1154, 2.0873, 2.8690, 2.7865, 2.4822, 3.3355, 3.4461, 2.5809, 3.0879
15, 1.0150, 2.6104, 1.9404, 3.3017, 3.9859, 2.4472, 3.9803, 4.5110, 3.0760, 3.6462
16, 0.8182, 1.6309, 1.8327, 2.4625, 1.9441, 2.1810, 3.0048, 2.3881, 2.0798, 2.5246
17, 0.8173, 1.8348, 1.9836, 3.0470, 1.8303, 2.4118, 3.7278, 2.3497, 2.2870, 2.8298
18, 0.7481, 1.5023, 1.8116, 2.3926, 1.6487, 2.0969, 2.9192, 2.0342, 1.9510, 2.3501
19, 0.7258, 1.5540, 1.7130, 2.4681, 1.8412, 1.9727, 3.0288, 2.3153, 2.0074, 2.4390
20, 0.7355, 1.4786, 1.6747, 2.4279, 1.6509, 2.0178, 2.9663, 2.0712, 1.9179, 2.3518
21, 0.6763, 1.7078, 1.6864, 2.6186, 2.1572, 2.0515, 3.2515, 2.6601, 2.1541, 2.6544
22, 0.6323, 1.5387, 1.8302, 2.4622, 1.6770, 2.0945, 2.9759, 2.0512, 1.9898, 2.3739
23, 0.6081, 1.6994, 1.7527, 2.5790, 2.1625, 2.0496, 3.0430, 2.5857, 2.1648, 2.5594
24, 0.5625, 2.0237, 2.3411, 2.5943, 2.5274, 2.8036, 3.0450, 2.9552, 2.4876, 2.9346
25, 0.5265, 1.7251, 2.1472, 2.4837, 1.9233, 2.4905, 3.0312, 2.3691, 2.1848, 2.6303
26, 0.5279, 1.5976, 1.8050, 2.4410, 1.8881, 2.1800, 3.0211, 2.3789, 2.0447, 2.5267
27, 0.5080, 1.5263, 1.6809, 2.4710, 1.7505, 2.0304, 3.0329, 2.2085, 1.9675, 2.4239
28, 0.4367, 1.9670, 2.1704, 2.9949, 2.1005, 2.6604, 3.7334, 2.6416, 2.4219, 3.0118
29, 0.4578, 1.5516, 1.9250, 2.4740, 1.6204, 2.2271, 3.0382, 1.9908, 2.0065, 2.4187
30, 0.4008, 1.6382, 1.9479, 2.4981, 1.8398, 2.2587, 3.0272, 2.2305, 2.0952, 2.5055
31, 0.4112, 1.5371, 1.6743, 2.3989, 1.8567, 2.1674, 3.0040, 2.2976, 1.9766, 2.4897
32, 0.3550, 1.6927, 1.9102, 2.5831, 1.9669, 2.2307, 3.1164, 2.3608, 2.1534, 2.5693
33, 0.3312, 1.8702, 2.0672, 2.6757, 2.2583, 2.3721, 3.1285, 2.7448, 2.3337, 2.7484
34, 0.4027, 1.7772, 2.3139, 2.6420, 1.7528, 2.7398, 3.1753, 2.1141, 2.2363, 2.6764
35, 0.3056, 1.6198, 1.9837, 2.5098, 1.7111, 2.4105, 3.0793, 2.1290, 2.0682, 2.5396
36, 0.3153, 1.7774, 2.1177, 2.4988, 2.1148, 2.4189, 2.9759, 2.6012, 2.2438, 2.6653
37, 0.3079, 1.6538, 1.8480, 2.6076, 1.8521, 2.2531, 3.1156, 2.1920, 2.1026, 2.5202
38, 0.2694, 1.6398, 2.0476, 2.6251, 1.6050, 2.4665, 3.1826, 1.9689, 2.0926, 2.5393
39, 0.2679, 1.6496, 2.0138, 2.5222, 1.7750, 2.3549, 3.1034, 2.1444, 2.1037, 2.5342
40, 0.2555, 1.5622, 1.8751, 2.4577, 1.6918, 2.2220, 3.0245, 2.0711, 2.0082, 2.4392
